taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1807924	Teracotona rhodophaea Walker, 1864	1807924	Teracotona rhodophaea Walker, 1864	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Teracotona	9217680	Teracotona rhodophaea	1807924	NE
1830459	Yponomeuta strigillata Zeller, 1852	1830459	Yponomeuta strigillata Zeller, 1852	60	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Yponomeutidae	8874	Yponomeuta	1830379	Yponomeuta strigillata	1830459	NE
1839519	Phratriodes curvisignis Meyrick, 1926	1839519	Phratriodes curvisignis Meyrick, 1926	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Oecophoridae	9689	Phratriodes	1839518	Phratriodes curvisignis	1839519	NE
1841979	Scythris faeculenta Meyrick, 1912	1841979	Scythris faeculenta Meyrick, 1912	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Scythrididae	8866	Scythris	1841529	Scythris faeculenta	1841979	NE
1847322	Dichomeris reducta (Janse, 1951)	1847322	Dichomeris reducta (Janse, 1951)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gelechiidae	3553	Dichomeris	1846907	Dichomeris reducta	1847322	NE
1847786	Ephysteris chersaea Meyrick, 1908	1847727	Ephysteris promptella (Staudinger, 1859)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gelechiidae	3553	Ephysteris	1847707	Ephysteris promptella	1847727	NE
1850707	Argophara epaxia Janse, 1963	1850707	Argophara epaxia Janse, 1963	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gelechiidae	3553	Argophara	1850706	Argophara epaxia	1850707	NE
1862765	Hyles livornica Esper, 1780	1862765	Hyles livornica Esper, 1780	70	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Sphingidae	8868	Hyles	1862681	Hyles livornica	1862765	NE
1883695	Calamoschoena stictalis Hampson, 1919	1883695	Calamoschoena stictalis Hampson, 1919	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Calamoschoena	1883694	Calamoschoena stictalis	1883695	NE
1957024	Gyalomia elatina Prout, 1913	6118389	Cabera elatina (Prout, 1913)	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Cabera	1955900	Cabera elatina	6118389	NE
1961567	Eupagia determinata Walker, 1860	1961567	Eupagia determinata Walker, 1860	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Eupagia	1961558	Eupagia determinata	1961567	NE
1992461	Alucita ferruginea Walsingham, 1881	1992461	Alucita ferruginea Walsingham, 1881	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Alucitidae	4542	Alucita	1856631	Alucita ferruginea	1992461	NE
5104409	Tortrix polytechna Meyrick, 1924	5104409	Tortrix polytechna Meyrick, 1924	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Tortrix	1747242	Tortrix polytechna	5104409	NE
5104659	Pleiomorpha homotypa Vári, 1961	5104659	Pleiomorpha homotypa Vári, 1961	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gracillariidae	5487	Pleiomorpha	1749108	Pleiomorpha homotypa	5104659	NE
5138699	Phasis argyroplaga Dickson, 1967	5138699	Phasis argyroplaga Dickson, 1967	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lycaenidae	5473	Phasis	1924772	Phasis argyroplaga	5138699	NE
6112551	Popoudina dorsalis (Walker, 1855)	6112551	Popoudina dorsalis (Walker, 1855)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Popoudina	4708566	Popoudina dorsalis	6112551	NE
6114848	Agdistis meyi Arenberger, 2008	6114848	Agdistis meyi Arenberger, 2008	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pterophoridae	8863	Agdistis	1859327	Agdistis meyi	6114848	NE
6117312	Thiacidas duplicata (Grünberg, 1910)	1764184	Chitasida duplicata Grünberg, 1910	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Chitasida	1764183	Chitasida duplicata	1764184	NE
6117791	Lozotaenia capensana (Walker, 1863)	6117791	Lozotaenia capensana (Walker, 1863)	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Lozotaenia	1736359	Lozotaenia capensana	6117791	NE
6119077	Scopula erinaria isolata Prout, 1920	6119077	Scopula erinaria isolata Prout, 1920	2	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Scopula	1970574	Scopula erinaria	5145775	
6121548	Cangetta albiceps (Hampson, 1917)	6121548	Cangetta albiceps (Hampson, 1917)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Cangetta	1884810	Cangetta albiceps	6121548	NE
6122504	Chrysocentris chrysozona (Meyrick, 1921)	1829831	Glyphipterix chrysozona (Meyrick, 1921)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Glyphipterigidae	3554	Glyphipterix	1829702	Glyphipterix chrysozona	1829831	NE
